No,CSO Name,ImageURL,Website,More_info,WADMKK,WADMPR,type,Context,Advocacy,Coastal Waste Management,Education,Institutional Strengthening and Human Resource Capacity Building,Mangrove Ecotourism,Mangrove Rehabilitation or Restoration,Research,Strengthening Regulations,Sustainable Aquaculture
1,A Tree For You,https://kiprahagroforestri.id/wp-content/uploads/2025/11/ATFYOU.png,https://www.atreeforyou.org/en/bali-pejarakan-restoring-mangroves/,https://www.atreeforyou.org/en/bali-pejarakan-restoring-mangroves/,Badung,Bali,Kabupaten,Pejarakan Mangrove Restoration,,✓,,,,✓,,,
2,Alam Lestari Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/ALAMLESTARI.png,https://www.alamlestari.org/?page_id=216,https://www.alamlestari.org/?page_id=216,Bone,Sulawesi Selatan,Kabupaten,Mangrove Adoption Program,✓,,✓,,,✓,,,
3,Blue Forest (Yayasan Hutan Biru),https://kiprahagroforestri.id/wp-content/uploads/2025/11/Blueforest.png,https://blue-forests.org/id/,https://kolomrakyat.com/yayasan-hutan-biru-perkuat-pengelolaan-mangrove-kolaboratif-di-muna-dan-muna-barat/,Muna,Sulawesi Tenggara,Kabupaten,Integrated Adaptive Collaborative Mangrove Management,,,✓,✓,,✓,,✓,✓
4,Blue Forest (Yayasan Hutan Biru),https://kiprahagroforestri.id/wp-content/uploads/2025/11/Blueforest.png,https://blue-forests.org/id/,https://kolomrakyat.com/yayasan-hutan-biru-perkuat-pengelolaan-mangrove-kolaboratif-di-muna-dan-muna-barat/,Muna Barat,Sulawesi Tenggara,Kabupaten,Integrated Adaptive Collaborative Mangrove Management,,,✓,✓,,✓,,✓,✓
5,Blue Forest (Yayasan Hutan Biru),https://kiprahagroforestri.id/wp-content/uploads/2025/11/Blueforest.png,https://blue-forests.org/id/,https://blue-forests.org/id/dari-kebun-tenggelam-tumbuh-harapan-baru-pembelajaran-rehabilitasi-mangrove-dari-indragiri-hilir/ruang-berita/cerita-dari-lapangan/,Indragiri Hilir,Riau,Kabupaten,"Protecting Mangroves, Strengthening KKD Indragiri Hilir",,,,✓,,✓,✓,✓,
6,Blue Forest (Yayasan Hutan Biru),https://kiprahagroforestri.id/wp-content/uploads/2025/11/Blueforest.png,https://blue-forests.org/id/,https://unhas.tv/blue-forest-di-tanakeke-menjaga-laut-menyelamatkan-darat/1,Takalar,Sulawesi Selatan,Kabupaten,Blue Forest Tanakeke Conservation,,,,✓,,✓,,,✓
7,Blue Forest (Yayasan Hutan Biru),https://kiprahagroforestri.id/wp-content/uploads/2025/11/Blueforest.png,https://blue-forests.org/id/,https://blog.blueventures.org/en/coming-together-to-protect-the-mangroves-of-sembilang-western-indonesias-largest-blue-forest/,Banyuasin,Sumatera Selatan,Kabupaten,Sembilang Mangrove Protection Initiative,✓,,,✓,,✓,,,
8,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/solusi/,Belitung,Kepulauan Bangka Belitung,Kabupaten,SOLUSI (Solusi Pengelolaan Lanskap Darat dan Laut Terpadu di Indonesia),✓,,✓,✓,,,✓,✓,
9,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/solusi/,Belitung Timur,Kepulauan Bangka Belitung,Kabupaten,SOLUSI (Solusi Pengelolaan Lanskap Darat dan Laut Terpadu di Indonesia),✓,,✓,✓,,,✓,✓,
10,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/solusi/,Donggala,Sulawesi Tengah,Kabupaten,SOLUSI (Solusi Pengelolaan Lanskap Darat dan Laut Terpadu di Indonesia),✓,,✓,✓,,,✓,✓,
